run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_200_750_01.txt,42,8548,6171,38.52,N/A,N/A,133,590,20000,2.95,1000,9,0,105.741
2,vc_200_750_02.txt,42,8240,5666,45.43,N/A,N/A,135,621,20000,3.1,1000,9,0,110.972
3,vc_200_750_03.txt,42,8479,6178,37.25,N/A,N/A,128,724,20000,3.62,1000,9,0,106.674
4,vc_200_750_04.txt,42,7943,5690,39.6,N/A,N/A,131,11209,20000,56.05,1000,9,0,107.897
5,vc_200_750_05.txt,42,8761,6341,38.16,N/A,N/A,132,376,20000,1.88,1000,9,0,104.027
6,vc_200_750_06.txt,42,8153,5826,39.94,N/A,N/A,134,4875,20000,24.38,1000,9,0,102.371
7,vc_200_750_07.txt,42,7635,5658,34.94,N/A,N/A,131,514,20000,2.57,1000,9,0,101.282
8,vc_200_750_08.txt,42,8376,5869,42.72,N/A,N/A,138,10698,20000,53.49,1000,8,0,106.619
9,vc_200_750_09.txt,42,8422,5781,45.68,N/A,N/A,131,7738,20000,38.69,1000,8,0,102.165
10,vc_200_750_10.txt,42,8176,6064,34.83,N/A,N/A,132,276,20000,1.38,1000,9,0,101.739
