rank,alpha,beta,rho,n_ants,min_weight,mean_weight,std_weight,max_weight,mean_fe,mean_time_s,n_runs
1,1.0,2.0,0.15,60,44379,44419.4,30.49327794777072,44458,13247.0,1624.558,5
2,1.0,2.0,0.1,80,44409,44450.6,23.44013651837378,44473,4136.0,1677.584,5
3,1.0,2.0,0.15,80,44396,44454.2,31.757833679267232,44493,13672.0,1731.654,5
4,1.0,5.0,0.15,80,44442,44463.8,20.75957610357206,44501,15466.4,1522.1219999999998,5
5,2.0,2.0,0.15,80,44409,44495.6,64.65477553901181,44584,15008.8,1680.1979999999999,5
