run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_25_150_01.txt,42,1312,807,62.58,1312,0.0,19,45,20000,0.22,4000,19,0,15.499
2,vc_25_150_02.txt,42,1132,728,55.49,1132,0.0,19,1,20000,0.01,4000,20,1,14.996
3,vc_25_150_03.txt,42,1305,823,58.57,1305,0.0,20,4,20000,0.02,4000,20,1,15.516
4,vc_25_150_04.txt,42,1425,857,66.28,1425,0.0,19,8,20000,0.04,4000,19,0,14.932
5,vc_25_150_05.txt,42,1307,833,56.9,1307,0.0,19,9,20000,0.04,4000,19,0,14.805
6,vc_25_150_06.txt,42,1249,767,62.84,1249,0.0,21,2,20000,0.01,4000,20,1,15.902
7,vc_25_150_07.txt,42,1450,913,58.82,1450,0.0,20,1,20000,0.01,4000,20,1,15.626
8,vc_25_150_08.txt,42,1151,754,52.65,1151,0.0,19,1,20000,0.01,4000,20,1,15.038
9,vc_25_150_09.txt,42,1248,846,47.52,1248,0.0,19,1,20000,0.01,4000,20,1,19.711
10,vc_25_150_10.txt,42,1061,682,55.57,1061,0.0,19,1,20000,0.01,4000,20,1,18.689
