run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_200_3000_01.txt,42,11506,6720,71.22,N/A,N/A,173,3107,20000,15.53,1000,9,0,160.649
2,vc_200_3000_02.txt,42,11176,6631,68.54,N/A,N/A,172,678,20000,3.39,1000,9,0,162.408
3,vc_200_3000_03.txt,42,11796,6803,73.39,N/A,N/A,173,793,20000,3.96,1000,9,0,184.407
4,vc_200_3000_04.txt,42,12549,7313,71.6,N/A,N/A,172,359,20000,1.8,1000,9,0,155.569
5,vc_200_3000_05.txt,42,11515,6762,70.29,N/A,N/A,173,13118,20000,65.59,1000,9,0,158.861
6,vc_200_3000_06.txt,42,11121,6591,68.73,N/A,N/A,173,225,20000,1.12,1000,9,0,159.174
7,vc_200_3000_07.txt,42,11540,6769,70.48,N/A,N/A,172,244,20000,1.22,1000,9,0,157.546
8,vc_200_3000_08.txt,42,11638,6850,69.9,N/A,N/A,172,14597,20000,72.98,1000,8,0,156.102
9,vc_200_3000_09.txt,42,11695,6902,69.44,N/A,N/A,170,502,20000,2.51,1000,9,0,157.014
10,vc_200_3000_10.txt,42,11455,6648,72.31,N/A,N/A,172,12639,20000,63.2,1000,8,0,163.522
