run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_100_2000_01.txt,42,6057,3443,75.92,N/A,N/A,89,4137,20000,20.69,2000,9,0,140.013
2,vc_100_2000_02.txt,42,5864,3323,76.47,N/A,N/A,89,2115,20000,10.57,2000,9,0,138.597
3,vc_100_2000_03.txt,42,5738,3245,76.83,N/A,N/A,91,47,20000,0.24,2000,9,0,139.840
4,vc_100_2000_04.txt,42,5959,3360,77.35,N/A,N/A,89,114,20000,0.57,2000,9,0,137.260
5,vc_100_2000_05.txt,42,6292,3522,78.65,N/A,N/A,90,59,20000,0.29,2000,9,0,140.178
6,vc_100_2000_06.txt,42,5904,3345,76.5,N/A,N/A,90,46,20000,0.23,2000,9,0,137.473
7,vc_100_2000_07.txt,42,6297,3550,77.38,N/A,N/A,89,221,20000,1.1,2000,9,0,136.386
8,vc_100_2000_08.txt,42,6211,3481,78.43,N/A,N/A,90,13,20000,0.07,2000,9,0,139.352
9,vc_100_2000_09.txt,42,5957,3310,79.97,N/A,N/A,89,306,20000,1.53,2000,9,0,113.276
10,vc_100_2000_10.txt,42,6240,3527,76.92,N/A,N/A,89,178,20000,0.89,2000,9,0,87.733
