rank,alpha,beta,rho,n_ants,min_weight,mean_weight,std_weight,max_weight,mean_fe,mean_time_s,n_runs
1,1.0,2.0,0.15,80,44396,44396.0,0.0,44396,14364.0,1595.63,1
2,2.0,2.0,0.15,80,44409,44409.0,0.0,44409,13855.0,1670.33,1
3,1.0,2.0,0.1,80,44447,44447.0,0.0,44447,4049.0,1747.97,1
4,1.0,5.0,0.2,80,44457,44457.0,0.0,44457,17615.0,2406.92,1
5,2.0,5.0,0.15,80,44459,44459.0,0.0,44459,19990.0,2415.88,1
