run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_100_500_01.txt,42,4475,2992,49.57,N/A,N/A,72,142,20000,0.71,2000,9,0,55.540
2,vc_100_500_02.txt,42,4872,3199,52.3,N/A,N/A,72,2278,20000,11.39,2000,9,0,55.697
3,vc_100_500_03.txt,42,4370,2964,47.44,N/A,N/A,71,146,20000,0.73,2000,9,0,53.457
4,vc_100_500_04.txt,42,4608,3061,50.54,N/A,N/A,71,1625,20000,8.12,2000,9,0,56.173
5,vc_100_500_05.txt,42,4807,3237,48.5,N/A,N/A,72,6356,20000,31.78,2000,9,0,88.747
6,vc_100_500_06.txt,42,4730,3303,43.2,N/A,N/A,71,6394,20000,31.97,2000,9,0,87.210
7,vc_100_500_07.txt,42,4637,3216,44.19,N/A,N/A,71,2501,20000,12.5,2000,9,0,86.860
8,vc_100_500_08.txt,42,4592,3101,48.08,N/A,N/A,73,4757,20000,23.79,2000,9,0,87.891
9,vc_100_500_09.txt,42,4556,3018,50.96,N/A,N/A,69,6364,20000,31.82,2000,9,0,86.760
10,vc_100_500_10.txt,42,4430,2929,51.25,N/A,N/A,74,237,20000,1.19,2000,9,0,89.869
