run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_800_10000.txt,49,44446,26800,65.84,N/A,N/A,666,4202,20000,21.01,250,7,0,843.575
2,vc_800_10000.txt,91,44461,26800,65.9,N/A,N/A,666,4003,20000,20.02,250,8,0,780.452
3,vc_800_10000.txt,133,44457,26800,65.88,N/A,N/A,666,3297,20000,16.48,250,8,0,1374.873
4,vc_800_10000.txt,175,44463,26800,65.91,N/A,N/A,667,3860,20000,19.3,250,8,0,2211.317
5,vc_800_10000.txt,217,44428,26800,65.78,N/A,N/A,667,4648,20000,23.24,250,7,0,1709.796
6,vc_800_10000.txt,259,44694,26800,66.77,N/A,N/A,668,19831,20000,99.16,250,7,0,1120.107
7,vc_800_10000.txt,301,44510,26800,66.08,N/A,N/A,666,4556,20000,22.78,250,7,0,1517.802
8,vc_800_10000.txt,343,44433,26800,65.79,N/A,N/A,667,4580,20000,22.9,250,7,0,1938.020
9,vc_800_10000.txt,385,44472,26800,65.94,N/A,N/A,664,4293,20000,21.46,250,7,0,1469.607
10,vc_800_10000.txt,427,44535,26800,66.18,N/A,N/A,666,4499,20000,22.5,250,7,0,1418.962
