run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_20_60_01.txt,42,773,550,40.55,773,0.0,13,12,20000,0.06,4000,19,0,9.980
2,vc_20_60_02.txt,42,938,656,42.99,938,0.0,12,5,20000,0.03,4000,20,1,9.325
3,vc_20_60_03.txt,42,730,538,35.69,730,0.0,13,6,20000,0.03,4000,20,1,9.760
4,vc_20_60_04.txt,42,757,578,30.97,757,0.0,13,10,20000,0.05,4000,19,0,10.200
5,vc_20_60_05.txt,42,871,539,61.6,871,0.0,14,4,20000,0.02,4000,20,1,10.641
6,vc_20_60_06.txt,42,855,562,52.14,855,0.0,13,4,20000,0.02,4000,20,1,13.753
7,vc_20_60_07.txt,42,972,620,56.77,972,0.0,14,24,20000,0.12,4000,19,0,26.563
8,vc_20_60_08.txt,42,867,672,29.02,867,0.0,12,1,20000,0.01,4000,20,1,26.804
9,vc_20_60_09.txt,42,980,700,40.0,980,0.0,14,6,20000,0.03,4000,20,1,18.938
10,vc_20_60_10.txt,42,875,618,41.59,875,0.0,13,1,20000,0.01,4000,20,1,17.089
