class,config,n,m,n_runs,mean_best_weight,std_best_weight,min_best_weight,max_best_weight,mean_fe_at_best,std_fe_at_best,mean_fe_budget_pct,mean_cover_size,mean_reinits,mean_time_s,std_time_s,pct_stopped_early
MPI,vc_100_2000,100,2000,10,6051.9,197.7071,5738.0,6297.0,723.6,1355.9399,3.62,89.5,9,131.011,17.2155,0.0
MPI,vc_100_500,100,500,10,4607.7,161.2445,4370.0,4872.0,3080,2661.0373,15.4,71.6,9,74.82,16.9109,0.0
MPI,vc_200_3000,200,3000,10,11599.1,394.3181,11121.0,12549.0,4626.2,6165.4451,23.13,172.2,8.8,161.525,8.4512,0.0
MPI,vc_200_750,200,750,10,8273.3,321.4302,7635.0,8761.0,3762.1,4520.7774,18.81,132.5,8.8,104.949,3.1685,0.0
SPI,vc_20_120,20,120,10,1038.2,115.4439,844.0,1261.0,6,8.5635,0.03,15.9,19.7,12.119,0.6928,70.0
SPI,vc_20_60,20,60,10,861.8,87.2376,730.0,980.0,7.3,6.8158,0.04,13.1,19.7,15.305,6.8349,70.0
SPI,vc_25_150,25,150,10,1264.0,123.9328,1061.0,1450.0,7.3,13.5896,0.04,19.4,19.7,16.071,1.7026,70.0
LPI,vc_800_10000,800,10000,10,44489.9,78.9183,44428.0,44694.0,5776.9,4955.3757,28.88,666.3,7.3,1438.451,449.7396,0.0
